Id;IdiomText;Defenition
270;deep down;If you talk about how someone is, or  feels, <em>deep down</em>, you are  describing what they are like or what they  really feel deep inside, behind the outward  appearance.<br />
271;nip in the bud;If you <em>nip</em>  a problem or an unacceptable situation<em>  in the bud</em>, you stop it at an early  stage, before it develops or becomes worse.<br />
272;beat around the bush;This expression is used to tell someone to  say what they have to say, clearly and  directly, even if it is unpleasant.<br/>
273;old chestnut;A story, joke or an  idea that has been repeated so often that it  has lost its novelty is referred to as an '<em>old  chestnut'</em>.<br />
274;fresh as a daisy;Someone who is <em> (as) fresh as a daisy</em> is lively and  attractive, in a clean and fresh way.<br />
275;pushing up the daisies;To say that someone  is<em> pushing up the daisies</em> means  that they are dead.<br />
276;lead up the garden path;If someone<em>  leads you up the garden path</em>, they  deceive you by making you believe something  which is not true.<br />
277;hit the hay;When you<em> hit  the hay (</em>or <em>hit the sack)</em>, you  go to bed.<br />
278;make hay while the sun shines;This expression is  used as an encouragement to take advantage  of a good situation which may not last.<br /> .
279;grass roots;The term <em>grass  roots</em> refers to the ordinary people who  form the main body of an organization.
280;(not) let the grass grow under feet;If someone does<em>  not let the grass grow under their feet,</em>  they do not delay in getting something done.<br />
281;green fingers;To have<em> green  fingers</em> means to be good at gardening.<br />
282;be up in arms;If you are <em>up  in arms about something, you are very angry.<br /> </em><br/>
283;get off by back!;If you tell someone to <em>get off your back</em>,  you are annoyed and ask them to stop finding  faults or criticizing you.<br />
284;bear with sore head;If someone is behaving like a  <em>bear with a sore head</em>, they are  very irritable and bad-tempered.<br/>
285;bite head off;If you <em>bite someone's head off</em>,  you criticize them strongly (and perhaps  unfairly).<br />
286;black mood;To  be<em> in a black mood</em> means to be  irritable, angry or even depressed.<br />
287;blow a fuse;If you <em>blow a fuse</em>, you  suddenly lose y our temper and become very  angry.<br />
288;blow a gasket;When a furious person <em>blows a gasket</em>,  they explode with anger.<br />
289;blow your top;If you <em>blow your top</em>, you  suddenly become very angry.<br />
290;have a bone to pick;If you have a <em> bone to pick </em>with someone, you are  annoyed with them and want to talk to them  about it.<br />
291;come down like a ton of bricks;If someone <em>comes  down on you like a ton of bricks,</em> they  criticize you severely because you have done  something wrong.<br />
292;for crying out loud!;This expression is used to show  irritation, exasperation or anger.<br />
293;cut it out!;If you say '<em>cut it out'</em> to  someone, you are telling them to stop doing  something.<br />
294;drive up the wall;If somebody or something <em>drives you  up the wall,</em>  they do something that greatly annoys or  irritates you.<br />
295;eat someone alive;"If you criticize someone severely  because you are angry with them, you <em>eat  them alive</em>.<br /> (You can also be eaten alive - bitten  repeatedly -&nbsp; by insects.)<br />"
296;fit to be tied;Someone who is<em>  fit to be tied </em>is extremely irritated,  upset or angry.<br />
297;get/take flak;If you <em>get </em> or<em> take flak</em>, you receive severe  criticism for something you have done.<br />
298;acquired taste;Something that you dislike when you first  taste it, but begin to like after trying it  several times, is <em>an acquired taste</em>.<br />
299;apple  of your  eye;A person, usually a child, who is<em> the  apple of your eye </em> is one for whom you have great affection.<br />
300;apple-pie   order;If something is<em>  in apple-pie order</em>, it is well  organized or in perfect order.<br/>
301;go bananas;If someone becomes very emotional and  starts behaving in a crazy way, they <em>go  bananas.</em><br />
302;full of beans;A person who is<em> full of beans</em>  is lively, healthy and active.<br/>
303;spill the beans;If you <em>spill the beans,</em> you  reveal a secret or talk about something  private.<br />
304;brown as a berry;To say that someone is as <em>brown as a  berry </em>means that they are very tanned.<br />
305;that takes the  biscuit !;This expression  refers to something very annoying or  irritating.<br />
306;know which side your bread  is  buttered;If you know <em> which side your bread is buttered</em>, you  know where your interests lie or what will  be to your advantage.<br />
307;"take the bread   out of
 somebody's mouth";If you<em> take the  bread out of somebody's mouth</em>, you take  away their means of earning a living.<br />
308;butter   somebody up;When you <em>butter  someone up,</em> you flatter them or you are  very nice to them, especially if you want to  obtain something.<br />
309;butter   wouldn't melt in your mouth;If you say that  someone looks as if <em>butter wouldn't melt  in their mouth, </em>you mean that they look  completely innocent, but that they are  capable of doing unpleasant things.<br />
310;piece of cake;To refer to something as <em>a piece of  cake </em>means that you consider it to be  very easy.<br />
311;slice/share of the  cake (or pie);When people feel entitled to a share of  the profits or benefits, they want a  (larger) <em>slice of the cake</em>.<br />
312;black tie event;This expression  refers to a formal event at which men are  required to wear a dinner jacket, or tuxedo,  and a black bow tie.<br /> .
313;bow and scrape;To say that someone  is<em> bowing and scraping</em> means that  they are being excessively polite or  servile.<br />
314;mind/watch your language;This is said to warn someone to be  careful what they say so as not to upset or  offend anyone.<br />
315;mind your Ps and Qs;If you tell someone  to <em>mind their Ps and Qs</em>, you are  advising them to be careful about how they  behave and what they say.<br />
316;overstep the mark;If you <em>overstep the mark,</em> you  go too far and upset someone by saying  something or behaving in a way that is  unacceptable.<br />
317;speak out of turn;If someone<em>  speaks out of turn, </em>either they  intervene at the wrong moment or they say  something tactless or inappropriate.<br />
318;stand on ceremony;When people<em>  stand on ceremony, </em>they behave in a  very formal way.<br />
319;take French leave;If you leave an official or social event  without notifying the person who invited  you, you<em> take French leave.</em><br />
320;time-honoured practice;A custom that is  universally respected, or a traditional way  of doing something, is called<em> a  time-honoured practice.</em><br />
321;bat out of hell;If something moves <em>like a bat out of  hell,</em> it moves very quickly.<br />
322;bats in the belfry;If you say that somebody has <em>bats in  the belfry</em>, you mean that <br/>they are  eccentric or crazy.<br />
323;bear with a sore head;If someone is behaving like a  <em>bear with a sore head</em>, they are  very irritable and bad-tempered.<br/>
324;break the back of the beast;If someone<em> breaks the back of the  beast</em>, they succeed in overcoming a  major difficulty.<br />
325;bee's knees;To say that someone/something is the<strong>  bee's knees</strong>  means that you think they are exceptionally  good.<br />
326;birds of a feather flock together;If two people are <em>birds of a  feather,</em> they are very similar in many  ways, so they naturally spend time together.<br />
327;for the birds;If you think something is<em> for the  birds</em>, you consider it to be  uninteresting, useless or not to be taken  seriously.<br />
328;bitten by the bug;If you develop a sudden interest or  enthusiasm for something, you are <em>bitten  by the bug.</em><br />
329;snug as a bug in a rug;This is a humorous way of saying that  you are warm and comfortable.<br />
330;red flag to a bull;To say that a statement or action is  like a <em>red flag to a bull</em> means  that it is sure to make someone very angry  or upset.<br />
331;bare one's heart/soul;If you <em>bare you  heart</em> (or  <em>soul</em>) to someone, you reveal your  innermost thoughts and feelings to them.<br/>
332;don't beat/stop beating around the bush;This expression is used to tell someone to  say what they have to say, clearly and  directly, even if it is unpleasant.<br/>
333;call a spade a spade;A person who <em> calls a spade a spade</em>  speaks openly and truthfully about  something, especially difficult matters.<br />
334;put/lay one's cards on the table;If you <em>put your cards on the table</em>,  you speak honestly and openly about your  feelings and intentions.<br />
335;clear the air;If you decide to <em>clear the air</em>, you try to remove  the causes of fear, worry or suspicion by  talking about the problem openly.<br />
336;come clean;To<em> come clean</em>  about something means to tell the truth.<br />
337;home truths;If you tell somebody some <em>home  truths</em>, you tell them some unpleasant  facts about themselves which are often  difficult to accept.<br />
338;in vino veritas;This expression, which in Latin means  'in wine there is truth', is a way of saying  that wine makes people less inhibited and  leads them to speak more freely and reveal  their true feelings.<br />
339;lay it on the line;If you speak frankly and make something  very clear, you <em>lay it on the line.</em><br />
340;not mince one's words;Someone who does <em>not mince their words </em>expresses  their opinions, ideas or thoughts very  clearly, even if they offend others by doing  so.<br />
341;on the level;If you say that someone is <em>on the  level,</em> you are referring to an honest  and truthful person.<br />
342;open the kimono;If a person or organization<em> opens  the kimono,</em> they reveal something  previously hidden.<br />
343;pull no punches;If someone <em> pulls no punches</em>, they speak openly and  honestly, holding nothing back.<br />
344;say a mouthful;"If&nbsp;you make an important or lengthy  remark, you <em>say a mouthful.</em><br />"
345;unvarnished truth;If you present someone with plain facts,  without trying to embellish or soften the  reality, you give them the<em> unvarnished  truth.</em><br />
346;words of one syllable;If you explain something in words of one  syllable, you use very simple language.<br />
347;achilles heel;This expression refers to a vulnerable area  or a weak spot, in an otherwise strong  situation, that could cause one's downfall  or failure.<br />
348;alarm bells ringing;If something<em> sets the alarm bells  ringing</em>, it makes you begin to worry,  because it shows that there may be a  problem.<br />
349;asking for trouble;Someone who is <em> asking for trouble</em> is behaving so  stupidly that he/she is likely to have  problems.<br/>
350;ball and chain;This term refers to  a burden or problem that ties you down and  prevents you from doing what you want. It  can also refer to one's spouse.<br />
351;bane of one's life;To say that something is the  <em>bane of your life</em> means that it is  the cause of your problems or your  unhappiness.<br/>
352;bite off more than you can chew;If you<em> bite off more than you can  chew</em>, you try to do something that is  too difficult for you, or more than you can  manage.<br />
353;on the blink;If a machine is <em> on the blink</em>, it is not working  properly and needs servicing or repair.<br />
354;can of worms;To describe a situation as a<em> can of  worms</em> means that it is complicated,  unpleasant and difficult to deal with.<br /> .
355;carry the can;If you <em>carry the can</em> for  another person, you accept blame or take  responsibility for something that goes  wrong, even if it is not your fault or only  partly.<br />
356;catch 22;A <em>catch 22</em> situation refers to a  frustrating situation where you cannot do  one thing without doing a second, and you  cannot do the second before doing the first.<br />
357;chill wind;If you face or feel the <em>chill wind</em>  of something, you are beginning to encounter  the problems or trouble it causes.<br /> M
358;afraid of one's own shadow;A person who is <em> afraid of his/her own shadow</em> is very  nervous or easily frightened.<br />
359;bated breath;If you wait for something with bated breath,  you are both anxious and excited about an  imminent event.<br/>
360;make your blood run cold;If something <em>makes your blood run  cold,</em> it shocks or scares you a lot.<br />
361;break out in a cold sweat;If you <em>break out in a cold sweat</em>,  you begin to perspire a lot, usually from  anxiety.<br /> .
362;bundle of nerves;If you describe someone as a <em>bundle  of nerve</em>s, you mean that they are very  nervous, tense or worried.<br />
363;butterflies in stomach;If you have <em> butterflies in your stomach</em>, you are  feeling very nervous.<br />
364;can't stand the pace;If you <em>can't stand the pace</em>,  you are unable to do things well when there  is a lot of pressure.<br />
365;cat on hot bricks;A person who is<em>  like a cat on hot bricks</em> is very  nervous or restless.<br />
366;on the edge of one's seat;Someone who is <em> on the edge of their seat </em>is very  interested in something and fits it both  extremely exciting and nerve-wracking.<br />
367;get fingers burnt;If someone <em>gets their fingers burnt,</em>  they suffer as a result of an unsuccessful  action and are nervous about trying again.<br />
368;heart in one's mouth;A person who has their <em>heart in  their mouth</em> feels extremely anxious or  nervous faced with a dangerous or unpleasant  situation.<br />
369;heart misses a beat;If your<em> heart misses (</em>or<em>  skips) a beat</em>, you have sudden feeling  of fear or excitement.<br />
370;heebie-jeebies;A state of apprehension, nervousness or  anxiety is called the <em>heebie-jeebies.<br /> </em>
371;hold your breath;If someone is <em> holding their breath,</em> they are waiting  anxiously or excitedly for something to  happen or be announced.<br />
372;if you can't stand the heat, get out of the  kitchen;This expression means that if you feel  that there is too much pressure, you can  leave.<br />
373;ignorance is bliss;This means that if you don't know about  a problem or unpleasant fact, you won't  worry about it.<br />
374;blow away the cobwebs;If something <em> blows away the cobwebs</em>, it makes you  feel more lively and refreshes your ideas.<br />
375;chill out;When people <em> chill out</em>, often after a period of  heavy work or nervous tension, they do  something that helps them to calm down and  relax for a while.<br />
376;in one's element;When you are<em> in your element</em>,  you are doing something that you do well,  and you are enjoying yourself.<br />
377;feast your eyes on;If you<em> feast your eyes</em> on  something, you are delighted and gratified  by what you see.<br />
378;footloose and fancy-free;"A person who is<em>  footloose and fancy free</em> has few  responsibilities or&nbsp; commitments of any kind  and feels free to do as they please.<br />"
379;in full swing;When something, such as an event, gets<em>  into full swing</em>, it is at<br/> its  busiest or liveliest time.<br />
380;full of the joys of spring;If you are <em>full of the joys of  spring,</em> you are happy, enthusiastic and  full of energy.<br />
381;guilty pleasure;Enjoying something which is not generally  held in high regard, while at the same time  feeling a bit guilty about it, is called a <em>guilty pleasure.</em><br/>
382;happy-go-lucky;If you are a <em> happy-go-lucky </em>person, you are cheerful  and carefree all the time.<br />
383;have a ball;If you  <em>have a ball</em> you enjoy yourself  immensely.<br/>
384;have the time of your life;If you have <em>the time of our life, </em> you enjoy yourself very much.<br />
385;have a whale of a time;When people have<em>  a whale of a time,</em> they enjoy  themselves a lot.<br />
386;let one's hair down;If you suggest that someone should<em>  let their hair down</em>, you are telling  them to relax and enjoy themselves.<br />
387;life and soul of the party;The<em>  life and soul of the party</em> is the most  lively and amusing person present at an  event.<br />
388;live the life of Riley;A person who<em>  lives the life of Riley </em>has a  comfortable and enjoyable life, without  having to make much effort.<br />
389;cut loose;If someone <em>cuts loose</em> or <em>is  cut loos</em>e, they stop being influenced  or controlled by another person or group.<br /> .
390;see eye to eye with someone;If you <em>see eye to eye</em> with  somebody, you agree with them.<br />
391;fair-weather friend;Someone who acts as a friend when times  are good, and is not there when you are in  trouble, is called a<em> fair-weather  friend.<br /> </em>
392;get on like a house on fire;Two people who get on <em>like a house  on fire</em> have similar interests and  quickly become good friends.<br />
393;get a raw deal;If you say that some has <em>got a raw  deal</em>, you think they have been treated  unfairly or badly.<br />
394;good walls make good neighbours;This expression means that respecting  one another's privacy helps create a good  relationship between neighbours.<br />
395;play gooseberry;"If you <em>play gooseberry</em>, you  join or accompany two people who have a&nbsp;  romantic relationship and want to be alone.<br />"
396;herding cats;This expression refers to the difficulty  of coordinating a situation which involves  people who all want to act independently.<br />
397;be an item;To say that two people<em> are an item</em>  means that they are involved in a romantic  relationship.<br />
398;know someone inside out;If you <em>know someone inside out</em>,  you know them very well.<br />
399;much ado about nothing;If people make <em> much ado about nothing</em>, they make a lot  of fuss about something which is not  important.<br />
400;argue the toss;If you <em>argue the toss</em>, you dispute  a decision or choice which has already been  made.<br/>
401;all hell broke loose;If you say that<em> all hell broke loose</em>,  you mean that there was a sudden angry or  noisy reaction to something.<br />
402;battle lines are drawn;This expression is used to say that  opposing groups are ready to defend the  reason behind the conflict.<br/>
403;battle of wills;A conflict, argument or struggle where  both sides are determined to win is described  as a <em>battle of wills.</em><br/>
404;blamestorming;A discussion among a group of people who  try to determine who<br/>  or what is to blame for a particular  mistake, failure or wrongdoing, is called  <em>'blamestorming</em>'.<br />
405;bone to pick;If you have a <em> bone to pick </em>with someone, you are  annoyed with them and want to talk to them  about it.<br />
406;in good/bad books;If you are<em> in somebody's good or bad  books</em>, you have their approval or  disapproval.<br />
407;call someone's bluff;If you <em>call someone's bluff</em>,  you challenge them to do what they threaten  to do (while believing that they will not  dare to do it).<br />
408;on cloud nine;A person who is <em> on cloud nine</em> is very happy because  something wonderful has happened.<br />
409;cry one's eyes out;If you<i> cry your eyes out, </i>you cry a  lot and for a long time.<br />
410;like a dog with two tails;If someone is<em>  like a dog with two tails</em>, they are  extremely happy.<br />
411;down in the dumps;Someone who is <em> down in the dumps</em> is depressed or  feeling gloomy.<br />
412;down in the mouth;When someone is <em> down in the mouth</em>, they look unhappy,  discouraged or depressed.<br />
413;face like a wet week-end;If someone has a <em>face like a wet  week-en</em>d, they look sad and miserable.<br />
414;fool's paradise;If someone is living in <em>a fool's  paradise</em>, they are in a state of  contentment that will not last because their  happiness is based <br/>on illusion or false  hope.<br />
415;grin from ear to ear;If somebody<em>  grins from ear to e</em>ar, they look vey  satisfied and happy.
416;grin like a Cheshire cat;When someone has a  smile on their face because they are happy  or satisfied about something, they<em> grin  like a Cheshire cat.<br /> </em>
417;happy camper;Someone who is a <em>happy camper</em> is generally content  or satisfied with what is happening in their  lives and has no complaints.<br />
418;happy as a flea in a doghouse;If someone is (as)<em>  happy as a flea in a doghouse</em>, they are  very happy and contented.<br />
419;happy as Larry;If you are (as) <em> happy as Larry,</em> you are very happy  indeed.<br />
420;your heart sinks;If your <em>heart sinks</em>, you feel  very unhappy and despondent.<br />
421;jump for joy;When people<em> jump for joy</em>, they  express their happiness through excited  movements and gestures.<br />
422;batten down the hatches;When you<em> batten down the hatches</em>,  you prepare yourself for danger or a  forthcoming difficult period, like a ship  preparing for a storm.<br/>
423;calculated risk;A <em>calculated risk</em> is a risk taken  with full knowledge of the dangers involved.<br />
424;throw caution to the wind;If you<em> throw  caution to the wind</em>, you start taking  risks and stop worrying about the danger  involved.<br /> .
425;close shave;This term describes  a situation where an accident or a disaster  nearly happened.<br /> .
426;coast is clear;To say that<em> the coast is clear </em> means that there is no danger in sight or  that nobody can see you.<br />
427;cry wolf;"To <em>cry wolf</em>  is to call for help when you are not really  in danger.&nbsp; <br/>As a result, nobody  believes you when you really need help.<br />"
428;dice with death;If you put your life at risk by doing  something very dangerous, you <em>dice with  death.</em><br />
429;dicey situation;Any situation that is potentially risky  or dangerous is called a <em>dicey  situation.</em><br />
430;fraught with danger;An activity or situation that is f<em>raught  with danger </em>is full of risks or serious  difficulties.<br />
431;by a hair's breadth;If you avoid or miss something <em>by a  hair's breadth</em>, you only just manage to  escape from a danger.<br />
432;big fish in a small pond;This term refers to  an important or highly-ranked person in a  small group or organization.<br />
433;bring to heel;If you force someone to behave in a  disciplined manner, you <em>bring them to  heel.</em><br />
434;bulldoze into doing;A person who is <em> bulldozed into doing something</em> is  forced to do it, especially by being bullied  or intimidated.<br />
435;call the shots/the tune;The person who <em>calls the shots </em>  or<em> the tune</em>  is the one who makes all the important  decisions and is in control of the  situation.<br />
436;carry weight;If a person or organization<em> carries  weight,</em> they are influential or  important.<br />
437;too many chiefs, not enough indians;This expression refers to a situation  where there are too many people giving  instructions and not enough people doing the  work.<br />
438;corridors of power;This term refers to the higher levels of  government or administration where important  decisions are made.<br />
439;crack the whip;If you <em>crack the whip</em>, you use  your authority to make someone obey you or  work more efficiently, usually by  threatening them.<br />
440;dance to someone's tune;If you <em>dance to someone's tune</em>,  you do whatever that person tells you to do.<br />
441;draw a line in the sand;If you <em>draw a line in the sand</em>,  you establish a limit beyond which a certain  situation or activity will not be accepted.<br />
442;force someone's hand;If you<em> force someone's hand,</em>  you make them do something unwillingly or  sooner than planned.<br />
443;friends in high places;If you know important or influential  people in business or government, you have<em>  friends in high places</em>.<br />
444;"get/have by the short hairs
 (or:by the short and curlies)";"If&nbsp; you <em>get or have someone by the  short hairs,</em> you put them in a  difficult situation from which they cannot  escape, so you have complete control over  them.<br />"
445;with a heavy hand;Dealing with or treating people with a <em> heavy hand</em>  means acting with discipline and severity,  with little or no sensitivity.<br />
446;in bad shape;A person who is <em> in bad shape</em> is in poor physical  condition.<br />
447;back on your feet;If you are <em>back on your feet</em>, after  an illness or an accident, you are  physically healthy again.<br />
448;back into shape;To get yourself <em>back into shape</em>,  you need to take some exercise in order to  become fit and healthy again.<br />
449;bag of bones;To say that someone is a <em>bag of  bones</em> means that they are extremely  thin.<br />
450;black out;If you <em>black  out,</em> you lose consciousness.<br />
451;blind as a bat;Someone whose vision is very poor, or  who is unable to see anything, is (as) <em> blind as a bat.</em><br />
452;"blue around the gills
 (also: green  or  pale)";If a person looks <em>blue around gills</em>, they look unwell  or sick.<br />
453;feel blue;To <em>feel blue</em>  means to have feelings of deep sadness or  depression.<br />
454;kick the bucket;To <em>kick the bucket </em>is a  lighthearted way of talking about death.<br />
455;cast iron stomach;If you can eat all sorts of food and  drink what you like, without any  indigestion, discomfort or bad effects, it  is said that you have a <em> cast-iron stomach.<br /> </em>
456;clean bill of health;If a person has a <em>clean bill of health</em>, they have a  report or certificate declaring that their  health is satisfactory.<br />
457;off colour;If you are<em> off colour</em>, you look  or feel ill.<br />
458;dead as a doornail;This expression is used to stress that a  person is very definitely dead.<br />
459;(like) death warmed up;If you look<em> like death warmed up</em>,  you look very ill or tired.<br />
460;die with one's boots on;A person who<em>  dies with their boots on</em> dies while  still leading an active life.<br />
461;dogs are barking;When a person says that their <em>dogs  are barking</em> they mean that their feet  are hurting.<br />
462;behind closed doors;If something takes place <em>behind closed  doors</em>, it is done privately or in  secret, with no observers or intruders.<br />
463;bite your tongue;If you<em> bite your tongue</em>, you try  not to say what you really think or feel.<br />
464;cover your tracks;If you <em>cover your tracks</em>, you  conceal or destroy evidence of what you have  been doing or where you have been.<br />
465;dark horse;If you refer to someone as <em>a dark  horse</em> you mean that they are secretive  or that little is known about them.<br />
466;in the dark;If someone is kept or left<em> in the  dark</em> about something, they are not  informed about it.<br />
467;dumb/close as an oyster;Someone who is as <em>dumb </em>or as <em>close as an oyste</em>r will never  reveal something told in confidence or  betray a secret.<br />
468;fly on the wall;A person who discretely watches a  situation without being noticed is called a <em> fly on the wall.</em><br />
469;give the game away;If you <em>give the  game away</em>, you reveal a secret or a  plan, often unintentionally.<br />
470;hold your tongue;If you <em>hold  your tongue,</em> you stay silent and say  nothing.<br />
471;keep a low profile;A person who <em>keeps a low profile</em>  tries not to attract public attention.<br />
472;keep under your hat;To <em>keep something under one's hat</em>  means to keep a secret.<br />
473;keep under wraps;If something is <em>kept under wraps,</em>  it is held secret and not revealed to  anyone.<br /> .
474;let cat out of the bag;If you<em> let the cat out of the bag</em>,  you reveal a secret, often unintentionally.<br />
475;cut a dash;If a person<em>  cuts a dash</em>, they make a striking  impression by their appearance and  attractive clothes.<br />
476;deck out;If you <em>deck out</em>  someone or something, you dress or decorate  them in a special way.<br />
477;dressed to kill;When someone, especially a woman, is <em> dressed to kill</em>, they are wearing very  fashionable or glamorous clothes intended to  attract attention.<br />
478;dressed up to the nines;Someone <em>dressed up to the nines</em>  is wearing very smart or glamorous clothes.<br />
479;down at heel;A person who is <em> down-at-heel </em>is someone whose  appearance is untidy or neglected because of  lack of money.<br />
480;face like a bulldog chewing a wasp;To say that someone has a<em> face like  a bulldog chewing a wasp  </em>means that you find them very  unattractive because they have a screwed-up  ugly expression on their face.<br/>
481;face only a mother could love;This is a humoristic way of saying that  someone is ugly or unattractive.<br />
482;face that would stop a clock;Someone who has a<em> face that would  stop a clock</em> has a shockingly  unattractive face.<br />
483;not a hair out of place;To say that someone does <em>not have a  hair out of place</em> means that their  appearance is perfect.<br />
484;look a sight;If a person<em>  looks a sight,</em> their appearance is  awful, unsuitable or very untidy.<br />
485;look like a million dollars;If you <em>look like a million dollars</em>,  you look extremely good.<br />
486;pretty as a picture;Someone who is (as) “pretty as a picture’ is  very attractive or appealing in appearance.<br/>
487;(all) skin and bone;If someone is <em>all skin and bone</em>,  they are very thin or too thin.<br/>
488;thin on the top;If someone, usually a man, is<em> thin  on the top</em>, they are losing their hair or  going bald.<br /> .
489;(as) ugly as sin;This expression is used to refer to  people or things that are considered to be  very unattractive.<br/>
490;vertically challenged;This term is a humoristic way of  referring to someone who is not very tall.<br />
491;blow hot and cold;If you <em>blow hot and cold </em>about  something, you constantly change your  opinion about it.<br />
492;chop and change;If you <em>chop and  change</em>, you constantly change your  opinion, plans or methods and often cause  confusion.<br />
493;cough up;"If you have to <em> cough up </em>something, such as money or  information,&nbsp; you give it reluctantly or  unwillingly.<br />"
494;drag one's feet;If you<em> drag your feet,</em> you  delay a decision or participate without any  real enthusiasm.<br />
495;get cold feet;"If you <em>get cold feet </em>about  something, you begin to hesitate about doing  it; you are no longer sure whether you want  to do it or not.<br />"
496;on the fence;When faced with a choice, a person who  is <em>on the fence</em>  has not yet reached a decision.<br />
497;half a mind;If you have <em>half a mind </em>to do  something, you are thinking seriously about  it but have not yet reached a decision.<br />
498;hem and haw;When someone <em> hems and haws,</em> they are very evasive  and avoid giving a clear answer.<br />
499;jury is still out;To say that<em> the jury is still ou</em>t  means that something is under consideration  but no decision has been reached yet.<br />
500;left hanging in the air;If a problem or  issue is<em> left hanging in the air</em>  (or<em> in mid-air</em>), no decision has  been taken so it remains without a solution.<br />
501;prod someone into doing;If you<em> prod someone into doing  something</em>, you make a hesitant person  do something that they are reluctant to do.<br />
502;put out feelers;Before doing something, if you try to  discover what other people think about it by  making discreet enquiries, you <em>put out  feelers.</em><br />
503;remains to be seen;If something is still unknown or a  decision has not yet been taken, it<em>  remains to be seen.</em><br />
504;in a quandary;If you are<em> in a quandary,</em> you  find it difficult to decide what to do.<br />
505;shilly-shally;If you <em> shilly-shally,</em> you hesitate a lot about  something and have difficulty reaching a  decision.<br />
506;sleep on it;If you take time (until the next day) to  think something over before making a  decision, you <em>sleep on it.</em><br />
507;toing and froing;Someone who is<em>  toing and froing</em> is either repeatedly  going from one place to another and coming  back, or is constantly changing their mind  about something.<br />
508;in two minds;If you are<em> in two minds</em> about  something, you have difficulty deciding what  to do.<br />
509;up in the air;If something, such as a plan or  decision, is <em>up in the air</em>, it has  not been decided or settled yet.<br />
510;shop around;If  you<em> shop around, </em>you visit a number  of shops selling similar articles in order  to compare the prices.<br />
511;shop till you drop;If you<em> shop  till you drop,</em> you go shopping for a  very long time, until you are exhausted.<br /> !
512;shopping spree;If you go on <em>a  shopping spree</em>, you enjoy a lively  outing, usually with much spending of money.<br />
513;shopping therapy;This term refers to  the idea that buying things can make you  feel better.<br />
514;window shopping;When people go <em> window shopping,</em> they look at things in  shop windows, without actually purchasing  anything.<br />
515;barefaced liar;Someone who lies  easily, with a total lack of shame, is a  <em>barefaced liar.</em><br/>
516;bend the truth;If you <em>bend the truth</em>, you say  something that is not entirely true.<br />
517;benefit of the doubt;If you give someone  the <em>benefit of the doubt</em>, you  choose to believe that the person is  innocent, honest or telling the truth,  because there is no evidence to the  contrary.<br />
518;black market;The <em>black market</em> refers to the  illegal buying and selling of goods or  currencies.<br />
519;break every rule;If you behave in a completely  unacceptable way, you <em>break every rule  in the book.</em><br />
520;buy a lemon;If buy something, especially a car, that  is defective, unsatisfactory, constantly  gives trouble or stops running after a short  time, you<br/> <em> buy a lemon.</em><br />
521;in cahoots with someone;If one person is<em> in cahoots</em>  with another, they are working in close  partnership, usually conspiring to do  something dishonest.<br/>
522;cards on the table;If you <em>put your cards on the table</em>,  you speak honestly and openly about your  feelings and intentions.<br />
523;catch red-handed;If a person is<em>  caught red-handed</em>, they are caught  while they are doing something wrong or  illegal.<br />
524;cook the books;A person who<em>  cooks the books</em> is one who changes the  facts or figures in the financial accounts,  often in order to steal money.<br />
525;crooked as a dog's hind leg;To say that someone is as <em>crooked as  a dog's hind leg</em>  means that they are very dishonest indeed.<br />
526;daylight robbery;The term <em>daylight robbery</em> is  used when the price of something is thought  to be much too high.<br />
527;economical with the truth;To say that a person is<em> economical  with the truth</em>  means that, without actually lying, they  omit important facts or give incomplete  information.<br />
528;asleep at the wheel;If you say that  someone is <em>asleep at the wheel,</em> you mean that  they are not sufficiently attentive,  especially at a critical moment when  vigilance is required.<br/>
529;cat nap;If you have a short sleep during the day,  you have a<em> cat nap</em>.<br />
530;forty winks;If you <em>have  forty winks</em>, you have a short sleep or  rest, generally during the day.<br />
531;hit the hay/sack;When you<em> hit the hay (</em>or <em> hit the sack)</em>, you go to bed.<br />
532;lie in;If you<em> lie in,</em>  you stay in bed after the normal time for  getting up.<br />
533;out like a light;If a person is <em> out like a light,</em> they are so tired  that they fall asleep very quickly.<br />
534;ready to drop;Someone who is <em> ready to drop</em> is extremely tired and  nearly too exhausted to stay standing.<br />
535;sleep like a log;If  you <em>sleep like a log, </em>you sleep  deeply or soundly.<br />
536;"not sleep a wink
not get a wink  of sleep";If someone <em> doesn't get a wink of sleep</em>, they don't  sleep a all.<br />
537;not lose (any) sleep;When something happens that in your  opinion is not a cause for worry, you can  say that you will<em> not lose (any) sleep  over it</em>.<br />
538;sleeping partner;This  term refers to a person who invests in a  business without taking an active part in  its management, and whose association with  the enterprise is not public knowledge.<br />
539;ace up your sleeve;If you have <em>an  ace up your sleeve</em>, you have something  in reserve with which you can gain an  advantage.<br/>
540;ambulance chaser;A lawyer who finds  work by persuading people injured in  accidents to claim money from the person who  caused the accident is called an<em>  'ambulance chaser'.</em><br />
541;back to the salt mines;Saying that you have to go <em>back to  the sale mines</em> is a humorous way of  talking about returning to work, usually  with some reluctance.<br />
542;bait and switch;This term refers to a deceptive  commercial practice of advertising<br/> a  low-priced item to attract customers, then  telling them that the product is out of  stock and persuading them to buy a more  expensive article.<br/>
543;in the black;To say that a  person or organization is<em> in the black</em>  means that they are financially sound, have  a positive balance on their account and that  they owe no money.
